year, wholesale, retail, catering
1978,5.46,25.24,5.57
1979,7.87,25.07,5.82
1980,7.91,26.03,5.66
1981,8.41,26.9,6.25
1982,9.05,27.65,6.51
1983,8.86,28.78,6.51
1984,8.81,31.76,6.86
1985,8.99,36.42,7.66
1986,8.96,36.02,7.97
1987,8.85,37.13,8.18
1988,9.42,41.47,8.67
1989,9.67,42.53,9.35
1990,8.19,42.29,9.33
1991,8.53,43.94,10.71
1992,13.74,49.97,10.98
1993,29.68,68.76,11.54
1994,27.58,49.91,11.02
1995,34.31,60.47,16.46
1996,50.79,71.42,23.46
1997,53.68,71.96,24.33
1998,53.67,72.89,24.4
1999,53.93,74.25,25.72
2000,53.79,74.62,25.91
2001,56.33,82.4,26.95
2002,65.4,86.79,27.15
2003,59.31,88.6,27.02
2004,74.77,81.44,25.04
2005,84.71,84.89,26.32
2006,86.32,88.17,29.02
2007,86.23,89.27,28.96
2008,87.98,84.74,30.12
2009,90.36,84.96,30.17
2010,91.58,85.21,31.25
